NCM*,Alíquota(%),Descrição,Início de Vigência,Categoria
8440.10.19,20,Outros,06/02/2026,Industrial/Maquinário
8440.10.20,"7,2","Máquinas para fabricar capas de papelão, com dispositivo de colagem e capacidade de produção superior a 60 unidades por minuto",01/03/2026,Industrial/Maquinário
8440.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8440.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8441.10.10,"7,2",Cortadeiras bobinadoras com velocidade de bobinado superior a 2.000 m/min,01/03/2026,Industrial/Maquinário
8441.10.90,20,Outras,06/02/2026,Industrial/Maquinário
8441.20.00,20,-Máquinas para fabricação de sacos de quaisquer dimensões ou de envelopes,06/02/2026,Industrial/Maquinário
8441.30.10,20,"De dobrar e colar, para fabricação de caixas",06/02/2026,Industrial/Maquinário
8441.30.90,20,Outras,06/02/2026,Industrial/Maquinário
8441.40.00,20,"-Máquinas de moldar artigos de pasta de papel, papel ou cartão",06/02/2026,Industrial/Maquinário
8441.80.00,"12,6",-Outras máquinas e aparelhos,06/02/2026,Industrial/Maquinário
8441.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8442.30.10,10,De compor por processo fotográfico,06/02/2026,Industrial/Maquinário
8442.30.20,"7,2","De compor caracteres tipográficos por outros processos, mesmo com dispositivo de fundir",01/03/2026,Industrial/Maquinário
8442.30.90,20,Outros,06/02/2026,Industrial/Maquinário
8442.40.10,"12,6",De máquinas do item 8442.30.10,06/02/2026,Industrial/Maquinário
8442.40.20,"7,2",De máquinas do item 8442.30.20,01/03/2026,Industrial/Maquinário
8442.40.90,20,Outras,06/02/2026,Industrial/Maquinário
8442.50.00,20,"-Clichês, placas, cilindros e outros elementos de impressão; pedras litográficas, placas e cilindros, preparados para impressão (por exemplo, aplainados, granulados ou polidos)",06/02/2026,Industrial/Maquinário
8443.11.10,"7,2","Para impressão multicolor de jornais, de largura igual ou superior a 900 mm, com unidades de impressão em configuração torre e dispositivos automáticos de emendar bobinas",01/03/2026,Industrial/Maquinário
8443.11.90,20,Outros,06/02/2026,Industrial/Maquinário
8443.12.00,20,"--Máquinas e aparelhos de impressão, por ofsete, do tipo utilizado em escritórios, alimentados por folhas em que um lado não seja superior a 22 cm e que o outro não seja superior a 36 cm, quando não dobradas",06/02/2026,Industrial/Maquinário
8443.13.10,"7,2","Para impressão multicolor de recipientes de matérias plásticas, cilíndricos, cônicos ou de faces planas",01/03/2026,Industrial/Maquinário
8443.13.21,"7,2",Com velocidade de impressão igual ou superior a 12.000 folhas por hora,01/03/2026,Industrial/Maquinário
8443.13.29,20,Outros,06/02/2026,Industrial/Maquinário
8443.13.90,20,Outros,06/02/2026,Industrial/Maquinário
8443.14.00,"7,2","--Máquinas e aparelhos de impressão, tipográficos, alimentados por bobinas, excluindo as máquinas e aparelhos flexográficos",01/03/2026,Industrial/Maquinário
8443.15.00,20,"--Máquinas e aparelhos de impressão, tipográficos, não alimentados por bobinas, excluindo as máquinas e aparelhos flexográficos",06/02/2026,Industrial/Maquinário
8443.16.00,20,"--Máquinas e aparelhos de impressão, flexográficos",06/02/2026,Industrial/Maquinário
8443.17.10,20,Rotativas para heliogravura,06/02/2026,Industrial/Maquinário
8443.17.90,20,Outros,06/02/2026,Industrial/Maquinário
8443.19.10,20,Para serigrafia,06/02/2026,Industrial/Maquinário
8443.19.90,20,Outros,06/02/2026,Industrial/Maquinário
8443.31.11,"12,6","De jato de tinta líquida, com largura de impressão inferior ou igual a 420 mm",06/02/2026,Informática/TI
8443.31.12,"7,2","De transferência térmica de cera sólida (por exemplo, solid ink e dye sublimation)",01/03/2026,Informática/TI
8443.31.13,"12,6","A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), monocromáticas, com largura de impressão inferior ou igual a 280 mm",06/02/2026,Informática/TI
8443.31.14,"7,2","A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), monocromáticas, com largura de impressão superior a 280 mm, mas não superior a 420 mm",01/03/2026,Informática/TI
8443.31.15,"7,2","A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), policromáticas",01/03/2026,Informática/TI
8443.31.16,"7,2","Outras, com largura de impressão superior a 420 mm",01/03/2026,Informática/TI
8443.31.19,"12,6",Outras,06/02/2026,Informática/TI
8443.31.91,"12,6",Com impressão por sistema térmico,06/02/2026,Informática/TI
8443.31.99,"7,2",Outras,01/03/2026,Informática/TI
8443.32.21,"7,2",De linha,01/03/2026,Informática/TI
8443.32.22,"7,2",De caracteres Braille,01/03/2026,Informática/TI
8443.32.23,20,Outras matriciais (por pontos),06/02/2026,Informática/TI
8443.32.29,20,Outras,06/02/2026,Informática/TI
8443.32.31,20,"De jato de tinta líquida, com largura de impressão inferior ou igual a 420 mm",06/02/2026,Informática/TI
8443.32.32,"7,2","De transferência térmica de cera sólida (por exemplo, solid ink e dye sublimation)",01/03/2026,Informática/TI
8443.32.33,"12,6","A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), monocromáticas, com largura de impressão inferior ou igual a 280 mm",06/02/2026,Informática/TI
8443.32.34,"7,2","A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), monocromáticas, com largura de impressão superior a 280 mm, mas não superior a 420 mm",01/03/2026,Informática/TI
8443.32.36,"7,2","A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), policromáticas, com velocidade de impressão superior a 20 páginas por minuto (ppm)",01/03/2026,Informática/TI
8443.32.37,"7,2","Térmicas, do tipo utilizado em impressão de imagens para diagnóstico médico em folhas revestidas com camada termossensível",01/03/2026,Médico/Hospitalar
8443.32.38,"7,2","Outras, com largura de impressão superior a 420 mm",01/03/2026,Informática/TI
8443.32.39,20,Outras,06/02/2026,Informática/TI
8443.32.40,"7,2",Outras impressoras alimentadas por folhas,01/03/2026,Informática/TI
8443.32.51,"12,6",Por meio de penas,06/02/2026,Informática/TI
8443.32.52,"7,2","Outros, com largura de impressão superior a 580 mm",01/03/2026,Informática/TI
8443.32.59,20,Outros,06/02/2026,Informática/TI
8443.32.91,"7,2","Impressoras de código de barras postais, tipo 3 em 5, a jato de tinta fluorescente, com velocidade de até 4,5 m/s e passo de 1,4 mm",01/03/2026,Informática/TI
8443.32.99,20,Outros,06/02/2026,Informática/TI
8443.39.10,20,Máquinas de impressão por jato de tinta,06/02/2026,Informática/TI
8443.39.21,20,"De reprodução da imagem do original sobre a cópia por meio de um suporte intermediário (processo indireto), monocromáticas, para cópias de superfície inferior ou igual a 1 m2, com velocidade inferior a 100 cópias por minuto",06/02/2026,Informática/TI
8443.39.28,"7,2","Outras, por processo indireto",01/03/2026,Informática/TI
8443.39.29,20,Outras,06/02/2026,Informática/TI
8443.39.30,20,Outras máquinas copiadoras,06/02/2026,Informática/TI
8443.39.90,20,Outros,06/02/2026,Informática/TI
8443.91.10,20,De máquinas e aparelhos da subposição 8443.12,06/02/2026,Industrial/Maquinário
8443.91.91,20,Dobradoras,06/02/2026,Industrial/Maquinário
8443.91.92,20,Numeradores automáticos,06/02/2026,Industrial/Maquinário
8443.91.99,20,Outros,06/02/2026,Industrial/Maquinário
8443.99.11,"12,6","Mecanismos de impressão, mesmo sem cabeça de impressão incorporada",06/02/2026,Industrial/Maquinário
8443.99.12,"7,2",Cabeças de impressão,01/03/2026,Industrial/Maquinário
8443.99.19,"12,6",Outros,06/02/2026,Industrial/Maquinário
8443.99.21,"12,6","Mecanismos de impressão, mesmo sem cabeça de impressão incorporada",06/02/2026,Industrial/Maquinário
8443.99.22,"7,2",Cabeças de impressão,01/03/2026,Industrial/Maquinário
8443.99.23,"7,2",Cartuchos de tinta,01/03/2026,Industrial/Maquinário
8443.99.29,"12,6",Outros,06/02/2026,Industrial/Maquinário
8443.99.31,"7,2","Mecanismos de impressão, mesmo sem cilindro fotossensível incorporado",01/03/2026,Industrial/Maquinário
8443.99.32,"7,2",Cilindros recobertos de matéria semicondutora fotoelétrica,01/03/2026,Industrial/Maquinário
8443.99.33,"7,2",Cartuchos de revelador (toners),01/03/2026,Industrial/Maquinário
8443.99.39,"12,6",Outros,06/02/2026,Industrial/Maquinário
8443.99.41,"12,6","Mecanismos de impressão, mesmo sem cabeça de impressão incorporada",06/02/2026,Industrial/Maquinário
8443.99.42,"7,2",Cabeças de impressão,01/03/2026,Industrial/Maquinário
8443.99.49,"12,6",Outros,06/02/2026,Industrial/Maquinário
8443.99.50,"12,6","Outros mecanismos de impressão, suas partes e acessórios",06/02/2026,Industrial/Maquinário
8443.99.60,"12,6","Circuitos impressos com componentes elétricos ou eletrônicos, montados",06/02/2026,Industrial/Maquinário
8443.99.70,"12,6","Bandejas e gavetas, suas partes e acessórios",06/02/2026,Industrial/Maquinário
8443.99.80,"12,6","Mecanismos de alimentação ou de triagem de papéis ou documentos, suas partes e acessórios",06/02/2026,Industrial/Maquinário
8443.99.90,"12,6",Outros,06/02/2026,Industrial/Maquinário
8444.00.10,20,Para extrudar,06/02/2026,Industrial/Maquinário
8444.00.20,"7,2",Para corte ou ruptura de fibras,01/03/2026,Industrial/Maquinário
8444.00.90,"7,2",Outras,01/03/2026,Industrial/Maquinário
8445.11.10,"7,2",Para lã,01/03/2026,Industrial/Maquinário
8445.11.20,"7,2",Para fibras do Capítulo 53,01/03/2026,Industrial/Maquinário
8445.11.90,20,Outras,06/02/2026,Industrial/Maquinário
8445.12.00,"7,2",--Penteadoras,01/03/2026,Industrial/Maquinário
8445.13.00,"7,2",--Bancos de estiramento (fusos),01/03/2026,Industrial/Maquinário
8445.19.10,"7,2",Máquinas para a preparação da seda,01/03/2026,Industrial/Maquinário
8445.19.21,20,"Para recuperação de cordas, fios, trapos ou qualquer outro desperdício, transformando-os em fibras adequadas para cardagem",06/02/2026,Industrial/Maquinário
8445.19.22,20,Descaroçadeiras e deslintadeiras de algodão,06/02/2026,Industrial/Maquinário
8445.19.23,20,"Para desengordurar, lavar, alvejar ou tingir fibras têxteis em massa ou rama",06/02/2026,Industrial/Maquinário
8445.19.24,"7,2",Abridoras de fibras de lã,01/03/2026,Industrial/Maquinário
8445.19.25,"7,2",Abridoras de fibras do Capítulo 53,01/03/2026,Industrial/Maquinário
8445.19.26,"7,2",Máquinas de carbonizar a lã,01/03/2026,Industrial/Maquinário
8445.19.27,"7,2",Para estirar a lã,01/03/2026,Industrial/Maquinário
8445.19.29,20,Outras,06/02/2026,Industrial/Maquinário
8445.20.00,"7,2",-Máquinas para fiação de matérias têxteis,01/03/2026,Industrial/Maquinário
8445.30.10,"7,2",Retorcedeiras,01/03/2026,Industrial/Maquinário
8445.30.90,20,Outras,06/02/2026,Industrial/Maquinário
8445.40.11,"7,2",Bobinadoras de trama (espuladeiras),01/03/2026,Industrial/Maquinário
8445.40.12,"7,2",Para fios elastanos,01/03/2026,Industrial/Maquinário
8445.40.18,"7,2","Outras, com atador automático",01/03/2026,Industrial/Maquinário
8445.40.19,20,Outras,06/02/2026,Industrial/Maquinário
8445.40.21,"7,2",Com velocidade de bobinado igual ou superior a 4.000 m/min,01/03/2026,Industrial/Maquinário
8445.40.29,20,Outras,06/02/2026,Industrial/Maquinário
8445.40.31,"7,2",Com controle de comprimento ou peso e atador automático,01/03/2026,Industrial/Maquinário
8445.40.39,20,Outras,06/02/2026,Industrial/Maquinário
8445.40.40,"7,2",Noveleiras automáticas,01/03/2026,Industrial/Maquinário
8445.40.90,20,Outras,06/02/2026,Industrial/Maquinário
8445.90.10,20,Urdideiras,06/02/2026,Industrial/Maquinário
8445.90.20,"7,2",Passadeiras para liço e pente,01/03/2026,Industrial/Maquinário
8445.90.30,15,Para amarrar urdideiras,06/02/2026,Industrial/Maquinário
8445.90.40,"7,2","Automáticas, para colocar lamelas",01/03/2026,Industrial/Maquinário
8445.90.90,20,Outras,06/02/2026,Industrial/Maquinário
8446.10.10,"7,2",Com mecanismo Jacquard,01/03/2026,Industrial/Maquinário
8446.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8446.21.00,20,--A motor,06/02/2026,Industrial/Maquinário
8446.29.00,20,--Outros,06/02/2026,Industrial/Maquinário
8446.30.10,"7,2",A jato de ar,01/03/2026,Industrial/Maquinário
8446.30.20,"7,2",A jato de água,01/03/2026,Industrial/Maquinário
8446.30.30,"7,2",De projétil,01/03/2026,Industrial/Maquinário
8446.30.40,"7,2",De pinças,01/03/2026,Industrial/Maquinário
8446.30.90,20,Outros,06/02/2026,Industrial/Maquinário
8447.11.00,"7,2",--Com cilindro de diâmetro não superior a 165 mm,01/03/2026,Industrial/Maquinário
8447.12.00,20,--Com cilindro de diâmetro superior a 165 mm,06/02/2026,Industrial/Maquinário
8447.20.21,"7,2",Para fabricação de malhas de urdidura,01/03/2026,Industrial/Maquinário
8447.20.29,20,Outros,06/02/2026,Industrial/Maquinário
8447.20.30,20,Máquinas de costura por entrelaçamento (couture-tricotage),06/02/2026,Industrial/Maquinário
8447.90.10,"7,2","Máquinas para fabricação de redes, tules ou filós",01/03/2026,Industrial/Maquinário
8447.90.20,"7,2",Máquinas automáticas para bordar,01/03/2026,Industrial/Maquinário
8447.90.90,20,Outras,06/02/2026,Industrial/Maquinário
8448.11.10,20,Ratieras,06/02/2026,Industrial/Maquinário
8448.11.20,"7,2",Mecanismos Jacquard,01/03/2026,Industrial/Maquinário
8448.11.90,20,Outros,06/02/2026,Industrial/Maquinário
8448.19.00,20,--Outros,06/02/2026,Industrial/Maquinário
8448.20.10,"7,2",Fieiras para a extrusão,01/03/2026,Industrial/Maquinário
8448.20.20,20,Outras partes e acessórios de máquinas para a extrusão,06/02/2026,Industrial/Maquinário
8448.20.30,"7,2",De máquinas para corte ou ruptura de fibras,01/03/2026,Industrial/Maquinário
8448.20.90,"7,2",Outras,01/03/2026,Industrial/Maquinário
8448.31.00,20,--Guarnições de cardas,06/02/2026,Industrial/Maquinário
8448.32.11,20,Chapéus (flats),06/02/2026,Industrial/Maquinário
8448.32.19,20,Outras,06/02/2026,Industrial/Maquinário
8448.32.20,"7,2",De penteadoras,01/03/2026,Industrial/Maquinário
8448.32.30,20,De bancas de estiramento (bancas de fusos),06/02/2026,Industrial/Maquinário
8448.32.40,"7,2",De máquinas para a preparação da seda,01/03/2026,Industrial/Maquinário
8448.32.50,"7,2",De máquinas para carbonizar lã,01/03/2026,Industrial/Maquinário
8448.32.90,20,Outros,06/02/2026,Industrial/Maquinário
8448.33.10,20,Cursores,06/02/2026,Industrial/Maquinário
8448.33.90,20,Outros,06/02/2026,Industrial/Maquinário
8448.39.11,20,De filatórios intermitentes (selfatinas),06/02/2026,Industrial/Maquinário
8448.39.12,"7,2",De máquinas do tipo tow-to-yarn,01/03/2026,Industrial/Maquinário
8448.39.17,20,De outros filatórios,06/02/2026,Industrial/Maquinário
8448.39.19,20,Outras,06/02/2026,Industrial/Maquinário
8448.39.21,"7,2",De bobinadoras de trama (espuladeiras),01/03/2026,Industrial/Maquinário
8448.39.22,"7,2","De bobinadoras automáticas para fios elastanos, ou com atador automático",01/03/2026,Industrial/Maquinário
8448.39.23,20,"Outras, de bobinadoras automáticas",06/02/2026,Industrial/Maquinário
8448.39.29,20,Outras,06/02/2026,Industrial/Maquinário
8448.39.91,20,De urdideiras,06/02/2026,Industrial/Maquinário
8448.39.92,"7,2",De passadeiras para liço e pente,01/03/2026,Industrial/Maquinário
8448.39.99,20,Outras,06/02/2026,Industrial/Maquinário
8448.42.00,20,"--Pentes, liços e quadros de liços",06/02/2026,Industrial/Maquinário
8448.49.10,20,De máquinas ou aparelhos auxiliares de teares,06/02/2026,Industrial/Maquinário
8448.49.20,"7,2","De teares para tecidos de largura superior a 30 cm, sem lançadeiras, a jato de água ou de projétil",01/03/2026,Industrial/Maquinário
8448.49.90,20,Outras,06/02/2026,Industrial/Maquinário
8448.51.10,20,Platinas,06/02/2026,Industrial/Maquinário
8448.51.90,"7,2",Outros,01/03/2026,Industrial/Maquinário
8448.59.10,20,De teares circulares para malhas,06/02/2026,Industrial/Maquinário
8448.59.22,"7,2",Para fabricação de malhas de urdidura,01/03/2026,Industrial/Maquinário
8448.59.29,20,Outras,06/02/2026,Industrial/Maquinário
8448.59.30,"7,2","De máquinas para fabricação de redes, tules ou filós, ou automáticas para bordar",01/03/2026,Industrial/Maquinário
8448.59.40,20,De máquinas do item 8447.90.90,06/02/2026,Industrial/Maquinário
8448.59.90,20,Outras,06/02/2026,Industrial/Maquinário
8449.00.10,20,Máquinas e aparelhos para fabricação ou acabamento de feltros,06/02/2026,Industrial/Maquinário
8449.00.20,"7,2",Máquinas e aparelhos para fabricação de falsos tecidos (tecidos não tecidos),01/03/2026,Industrial/Maquinário
8449.00.80,20,Outros,06/02/2026,Industrial/Maquinário
8449.00.91,"7,2",De máquinas ou aparelhos para fabricação de falsos tecidos (tecidos não tecidos),01/03/2026,Industrial/Maquinário
8449.00.99,20,Outras,06/02/2026,Industrial/Maquinário
8450.20.10,"7,2",Túneis contínuos,01/03/2026,Industrial/Maquinário
8450.20.90,20,Outras,06/02/2026,Industrial/Maquinário
8450.90.10,20,De máquinas dos itens 8450.20.10 ou 8450.20.90,06/02/2026,Industrial/Maquinário
8451.10.00,20,-Máquinas para lavar a seco,06/02/2026,Industrial/Maquinário
8451.29.10,"7,2","Que funcionem por meio de ondas eletromagnéticas (micro-ondas), cuja produção seja igual ou superior a 120 kg/h de produto seco",01/03/2026,Industrial/Maquinário
8451.29.90,20,Outras,06/02/2026,Industrial/Maquinário
8451.30.10,"7,2",Automáticas,01/03/2026,Industrial/Maquinário
8451.30.99,20,Outras,06/02/2026,Industrial/Maquinário
8451.40.10,20,Para lavar,06/02/2026,Industrial/Maquinário
8451.40.21,20,"Para tingir tecidos em rolos; para tingir por pressão estática, com molinete (rotor de pás), jato de água (jet) ou combinada",06/02/2026,Industrial/Maquinário
8451.40.29,20,Outras,06/02/2026,Industrial/Maquinário
8451.40.90,20,Outras,06/02/2026,Industrial/Maquinário
8451.50.10,"7,2",Para inspeção visual de tecidos,01/03/2026,Industrial/Maquinário
8451.50.20,"7,2","Automáticas, para enfestar ou cortar",01/03/2026,Industrial/Maquinário
8451.50.90,20,Outras,06/02/2026,Industrial/Maquinário
8451.80.00,20,-Outras máquinas e aparelhos,06/02/2026,Industrial/Maquinário
8451.90.90,20,Outras,06/02/2026,Industrial/Maquinário
8452.21.10,"7,2",Para costurar couros ou peles,01/03/2026,Industrial/Maquinário
8452.21.20,"7,2",Para costurar tecidos,01/03/2026,Industrial/Maquinário
8452.21.90,"7,2",Outras,01/03/2026,Industrial/Maquinário
8452.29.10,"12,6",Para costurar couros ou peles,06/02/2026,Industrial/Maquinário
8452.29.21,"7,2",Remalhadeiras,01/03/2026,Industrial/Maquinário
8452.29.22,"7,2",Para casear,01/03/2026,Industrial/Maquinário
8452.29.23,"7,2",Tipo zigue-zague para inserir elástico,01/03/2026,Industrial/Maquinário
8452.29.24,"7,2",De costura reta,01/03/2026,Industrial/Maquinário
8452.29.25,"12,6",Galoneiras,06/02/2026,Industrial/Maquinário
8452.29.29,"7,2",Outras,01/03/2026,Industrial/Maquinário
8452.29.90,"12,6",Outras,06/02/2026,Industrial/Maquinário
8452.30.00,20,-Agulhas para máquinas de costura,06/02/2026,Industrial/Maquinário
8452.90.91,20,"Guia-fios, lançadeiras não rotativas e porta-bobinas",06/02/2026,Industrial/Maquinário
8452.90.92,"7,2",Para remalhadeiras,01/03/2026,Industrial/Maquinário
8452.90.93,"7,2",Lançadeiras rotativas,01/03/2026,Industrial/Maquinário
8452.90.94,20,Corpos moldados por fundição,06/02/2026,Industrial/Maquinário
8452.90.99,"7,2",Outras,01/03/2026,Industrial/Maquinário
8453.10.10,20,"Máquinas para dividir couros com largura útil inferior ou igual a 3.000 mm, com lâmina sem fim, com controle eletrônico programável",06/02/2026,Industrial/Maquinário
8453.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8453.20.00,20,-Máquinas e aparelhos para fabricar ou consertar calçado,06/02/2026,Industrial/Maquinário
8453.80.00,20,-Outras máquinas e aparelhos,06/02/2026,Industrial/Maquinário
8453.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8454.10.00,20,-Conversores,06/02/2026,Industrial/Maquinário
8454.20.10,20,Lingoteiras,06/02/2026,Industrial/Maquinário
8454.20.90,20,Outras,06/02/2026,Industrial/Maquinário
8454.30.10,20,Sob pressão,06/02/2026,Industrial/Maquinário
8454.30.20,"7,2",Por centrifugação,01/03/2026,Industrial/Maquinário
8454.30.90,20,Outras,06/02/2026,Industrial/Maquinário
8454.90.10,"7,2",De máquinas de vazar (moldar) por centrifugação,01/03/2026,Industrial/Maquinário
8454.90.90,20,Outras,06/02/2026,Industrial/Maquinário
8455.10.00,20,-Laminadores de tubos,06/02/2026,Industrial/Maquinário
8455.21.10,20,De cilindros lisos,06/02/2026,Industrial/Maquinário
8455.21.90,20,Outros,06/02/2026,Industrial/Maquinário
8455.22.10,20,De cilindros lisos,06/02/2026,Industrial/Maquinário
8455.22.90,20,Outros,06/02/2026,Industrial/Maquinário
8455.30.10,20,"Fundidos, de aço ou ferro fundido nodular",06/02/2026,Industrial/Maquinário
8455.30.20,"7,2","Forjados, de aço de corte rápido, com um teor, em peso, de carbono igual ou superior a 0,80 % e inferior ou igual a 0,90 %, de cromo igual ou superior a 3,50 % e inferior ou igual a 4 %, de vanádio igual ou superior a 1,60 % e inferior ou igual a 2,30 %, de molibdênio inferior ou igual a 8,50 % e de tungstênio (volfrâmio) inferior ou igual a 7 %",01/03/2026,Industrial/Maquinário
8455.30.90,20,Outros,06/02/2026,Industrial/Maquinário
8455.90.00,20,-Outras partes,06/02/2026,Industrial/Maquinário
8456.11.19,20,Outras,06/02/2026,Industrial/Maquinário
8456.11.90,20,Outras,06/02/2026,Industrial/Maquinário
8456.12.11,"7,2",Para corte de chapas metálicas de espessura superior a 8 mm,01/03/2026,Industrial/Maquinário
8456.12.19,20,Outras,06/02/2026,Industrial/Maquinário
8456.12.90,20,Outras,06/02/2026,Industrial/Maquinário
8456.20.10,"7,2",De comando numérico,01/03/2026,Industrial/Maquinário
8456.20.90,"7,2",Outras,01/03/2026,Industrial/Maquinário
8456.30.11,"7,2",Para texturizar superfícies cilíndricas,01/03/2026,Industrial/Maquinário
8456.30.19,20,Outras,06/02/2026,Industrial/Maquinário
8456.30.90,20,Outras,06/02/2026,Industrial/Maquinário
8456.40.00,20,-Que operem por jato de plasma,06/02/2026,Industrial/Maquinário
8456.50.00,20,-Máquinas de corte a jato de água,06/02/2026,Industrial/Maquinário
8456.90.00,20,-Outras,06/02/2026,Industrial/Maquinário
8457.10.00,20,-Centros de usinagem (fabricação*),06/02/2026,Industrial/Maquinário
8457.20.10,20,De comando numérico,06/02/2026,Industrial/Maquinário
8457.20.90,20,Outras,06/02/2026,Industrial/Maquinário
8457.30.10,20,De comando numérico,06/02/2026,Industrial/Maquinário
8457.30.90,20,Outras,06/02/2026,Industrial/Maquinário
8458.11.10,20,Revólver,06/02/2026,Industrial/Maquinário
8458.11.91,"7,2",De 6 ou mais fusos porta-peças,01/03/2026,Industrial/Maquinário
8458.11.99,20,Outros,06/02/2026,Industrial/Maquinário
8458.19.10,20,Revólver,06/02/2026,Industrial/Maquinário
8458.19.90,20,Outros,06/02/2026,Industrial/Maquinário
8458.91.00,20,--De comando numérico,06/02/2026,Industrial/Maquinário
8458.99.00,20,--Outros,06/02/2026,Industrial/Maquinário
8459.10.00,20,-Unidades com cabeça deslizante,06/02/2026,Industrial/Maquinário
8459.21.10,20,Radiais,06/02/2026,Industrial/Maquinário
8459.21.91,20,De mais de um cabeçote mono ou multifuso,06/02/2026,Industrial/Maquinário
8459.21.99,20,Outras,06/02/2026,Industrial/Maquinário
8459.29.00,20,--Outras,06/02/2026,Industrial/Maquinário
8459.31.00,20,--De comando numérico,06/02/2026,Industrial/Maquinário
8459.39.00,20,--Outras,06/02/2026,Industrial/Maquinário
8459.41.00,20,--De comando numérico,06/02/2026,Industrial/Maquinário
8459.49.00,20,--Outras,06/02/2026,Industrial/Maquinário
8459.51.00,20,--De comando numérico,06/02/2026,Industrial/Maquinário
8459.59.00,20,--Outras,06/02/2026,Industrial/Maquinário
8459.61.00,20,--De comando numérico,06/02/2026,Industrial/Maquinário
8459.69.00,20,--Outras,06/02/2026,Industrial/Maquinário
8459.70.00,20,-Outras máquinas para roscar interior ou exteriormente,06/02/2026,Industrial/Maquinário
8460.12.00,20,--De comando numérico,06/02/2026,Industrial/Maquinário
8460.19.00,20,--Outras,06/02/2026,Industrial/Maquinário
8460.22.00,20,"--Máquinas para retificar sem centro, de comando numérico",06/02/2026,Industrial/Maquinário
8460.23.00,20,"--Outras máquinas para retificar superfícies cilíndricas, de comando numérico",06/02/2026,Industrial/Maquinário
8460.24.00,20,"--Outras, de comando numérico",06/02/2026,Industrial/Maquinário
8460.29.00,20,--Outras,06/02/2026,Industrial/Maquinário
8460.31.00,20,--De comando numérico,06/02/2026,Industrial/Maquinário
8460.39.00,20,--Outras,06/02/2026,Industrial/Maquinário
8460.40.11,20,Brunidoras para cilindros de diâmetro inferior ou igual a 312 mm,06/02/2026,Industrial/Maquinário
8460.40.19,20,Outras,06/02/2026,Industrial/Maquinário
8460.40.91,20,Brunidoras para cilindros de diâmetro inferior ou igual a 312 mm,06/02/2026,Industrial/Maquinário
8460.40.99,20,Outras,06/02/2026,Industrial/Maquinário
8460.90.11,"7,2","De polir, com cinco ou mais cabeças e porta -peças rotativo",01/03/2026,Industrial/Maquinário
8460.90.12,"7,2","De esmerilhar, com duas ou mais cabeças e porta-peças rotativo",01/03/2026,Industrial/Maquinário
8460.90.19,20,Outras,06/02/2026,Industrial/Maquinário
8460.90.90,20,Outras,06/02/2026,Industrial/Maquinário
8461.20.10,20,Para escatelar,06/02/2026,Industrial/Maquinário
8461.20.90,20,Outras,06/02/2026,Industrial/Maquinário
8461.30.10,20,De comando numérico,06/02/2026,Industrial/Maquinário
8461.30.90,20,Outras,06/02/2026,Industrial/Maquinário
8461.40.10,"7,2",De comando numérico,01/03/2026,Industrial/Maquinário
8461.40.91,20,Redondeadoras de dentes,06/02/2026,Industrial/Maquinário
8461.40.99,20,Outras,06/02/2026,Industrial/Maquinário
8461.50.10,20,De fitas sem fim,06/02/2026,Industrial/Maquinário
8461.50.20,20,Circulares,06/02/2026,Industrial/Maquinário
8461.50.90,20,Outras,06/02/2026,Industrial/Maquinário
8461.90.10,20,De comando numérico,06/02/2026,Industrial/Maquinário
8461.90.90,20,Outras,06/02/2026,Industrial/Maquinário
8462.11.00,20,--Máquinas para forjamento em matriz fechada,06/02/2026,Industrial/Maquinário
8462.19.00,20,--Outras,06/02/2026,Industrial/Maquinário
8462.22.00,20,--Máquinas para formação de perfis,06/02/2026,Industrial/Maquinário
8462.23.00,20,"--Prensas dobradeiras, de comando numérico",06/02/2026,Industrial/Maquinário
8462.24.00,20,"--Prensas para painéis, de comando numérico",06/02/2026,Industrial/Maquinário
8462.25.00,20,"--Máquinas de conformação por rolos, de comando numérico",06/02/2026,Industrial/Maquinário
8462.26.00,20,"--Outras máquinas para enrolar, arquear, dobrar, endireitar ou aplanar, de comando numérico",06/02/2026,Industrial/Maquinário
8462.29.00,20,--Outras,06/02/2026,Industrial/Maquinário
8462.42.00,20,--De comando numérico,06/02/2026,Industrial/Maquinário
8462.49.00,20,--Outras,06/02/2026,Industrial/Maquinário
8462.51.00,20,--De comando numérico,06/02/2026,Industrial/Maquinário
8463.10.10,20,Para estirar tubos,06/02/2026,Industrial/Maquinário
8463.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8463.20.10,20,De comando numérico,06/02/2026,Industrial/Maquinário
